,secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity
978,002469.XSHE,002469,XSHE,3,中小板,CNY,三维工程,山东三维石化工程股份有限公司,L,2010-09-08,,A,沪深A股,CHN,37288,503262800.0,463423200.0,463423200.0,山东省淄博市临淄区炼厂中路22号,"发行人主要服务于石油化工、煤化工行业,从事以炼油化工项目为主的工程设计和总承包业务,主营业务服务的具体行业主要集中于炼油、油品储运、无机化工、有机化工、煤化工等领域。",2017-03-31,1279659015.98
979,002470.XSHE,002470,XSHE,3,中小板,CNY,金正大,金正大生态工程集团股份有限公司,L,2010-09-08,,A,沪深A股,CHN,38091,3146218000.0,2715139100.0,2715139100.0,山东省临沂市临沭县兴大西街19号,复合肥、控释肥的研发、生产和销售。,2017-03-31,10214127884.5
980,002471.XSHE,002471,XSHE,3,中小板,CNY,中超控股,江苏中超控股股份有限公司,L,2010-09-10,,A,沪深A股,CHN,38184,1268000000.0,1258478500.0,1258478500.0,江苏省宜兴市西郊工业园振丰东路999号,电线电缆的研发、生产、销售和服务。,2017-03-31,2888598713.56
981,002472.XSHE,002472,XSHE,3,中小板,CNY,双环传动,浙江双环传动机械股份有限公司,L,2010-09-10,,A,沪深A股,CHN,38230,676744000.0,528007100.0,528007100.0,浙江省杭州市西湖区古墩路702号赞宇大厦12楼,传动用齿轮及齿轮零件的生产与销售,2017-03-31,3075246008.59
982,002473.XSHE,002473,XSHE,3,中小板,CNY,*ST圣莱,宁波圣莱达电器股份有限公司,L,2010-09-10,,A,沪深A股,CHN,38188,160000000.0,157500000.0,157500000.0,浙江省宁波市江北区金山路298号,从事水加热生活电器核心零部件及整机的研发、生产和销售。,2017-03-31,357624944.54
983,002474.XSHE,002474,XSHE,3,中小板,CNY,榕基软件,福建榕基软件股份有限公司,L,2010-09-15,,A,沪深A股,CHN,35270,622200000.0,446726200.0,446726200.0,福建省福州市鼓楼区铜盘路福州软件园产业基地,软件产品的开发与销售、计算机系统集成及技术支持与服务。,2017-03-31,1422430002.27
984,002475.XSHE,002475,XSHE,3,中小板,CNY,立讯精密,立讯精密工业股份有限公司,L,2010-09-15,,A,沪深A股,CHN,38239,2120058600.0,1873848000.0,1873848000.0,广东省东莞市清溪镇青皇村青皇工业区葵青路17号,"公司专注于连接器的研发、生产和销售,产品主要应用于3C(电脑、通讯、消费电子)、汽车和通讯设备等领域。",2017-03-31,12459765309.6
985,002476.XSHE,002476,XSHE,3,中小板,CNY,宝莫股份,山东宝莫生物化工股份有限公司,L,2010-09-15,,A,沪深A股,CHN,38090,612000000.0,578381600.0,578381600.0,山东省东营市东营区西四路892号,公司主要从事丙烯酰胺、聚丙烯酰胺及其衍生物的研究开发、生产销售和技术服务。,2017-03-31,1001505565.82
986,002477.XSHE,002477,XSHE,3,中小板,CNY,雏鹰农牧,雏鹰农牧集团股份有限公司,L,2010-09-15,,A,沪深A股,CHN,38273,3135159700.0,1964906400.0,1964906400.0,河南省新郑市薛店镇世纪大道公司办公区,家畜、家禽养殖与销售。,2017-03-31,7627262366.55
987,002478.XSHE,002478,XSHE,3,中小板,CNY,常宝股份,江苏常宝钢管股份有限公司,L,2010-09-21,,A,沪深A股,CHN,38183,800200000.0,603980200.0,603980200.0,江苏省常州市延陵东路558号,石油天然气用管、锅炉管和机械管等专用钢管的研发、生产和销售,2017-03-31,3178484439.41
